team,season,week,opponent,is_home,total_line,spread_line,team_implied_total,opponent_implied_total,rolling_4wk_avg_sacks_allowed,rolling_4wk_avg_turnovers_committed,sacks,interceptions,fumbles_recovered,defensive_tds,points_allowed,dk_fantasy_points,dk_showdown_captain_points
ARI,2021,18,SEA,1,48.0,5.5,21.25,26.75,1.5,0.25,1.0,1.0,1.0,1.0,38.0,7.0,10.5
ARI,2021,19,LA,0,49.5,-4.0,26.75,22.75,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-1.0,-1.5
ARI,2022,1,KC,1,54.0,-6.0,30.0,24.0,1.0,0.5,0.0,0.0,1.0,0.0,44.0,-2.0,-3.0
ARI,2022,2,LV,0,51.5,-5.5,28.5,23.0,3.25,2.25,1.0,0.0,1.0,1.0,23.0,9.0,13.5
ARI,2022,3,LA,1,49.0,-3.5,26.25,22.75,3.5,2.75,1.0,0.0,1.0,0.0,20.0,4.0,6.0
ARI,2022,4,CAR,0,44.0,-1.0,22.5,21.5,2.75,1.25,2.0,2.0,1.0,0.0,16.0,9.0,13.5
ARI,2022,5,PHI,1,48.5,-5.5,27.0,21.5,2.25,0.5,2.0,0.0,0.0,0.0,20.0,3.0,4.5
ARI,2022,6,SEA,0,50.0,2.5,23.75,26.25,1.75,1.0,5.0,0.0,1.0,1.0,19.0,14.0,21.0
ARI,2022,7,NO,1,44.0,2.5,20.75,23.25,1.25,1.75,0.0,3.0,0.0,2.0,34.0,17.0,25.5
ARI,2022,8,MIN,0,48.5,-4.0,26.25,22.25,2.0,1.0,3.0,0.0,2.0,0.0,34.0,6.0,9.0
ARI,2022,9,SEA,1,49.5,1.5,24.0,25.5,3.25,1.75,2.0,1.0,0.0,1.0,31.0,9.0,13.5
ARI,2022,10,LA,0,38.0,-3.5,20.75,17.25,3.0,1.0,3.0,1.0,1.0,0.0,17.0,8.0,12.0
ARI,2022,11,SF,1,43.5,-10.0,26.75,16.75,2.25,2.0,0.0,0.0,0.0,0.0,38.0,-4.0,-6.0
ARI,2022,12,LAC,1,48.5,-2.5,25.5,23.0,2.75,1.75,4.0,0.0,0.0,0.0,25.0,4.0,6.0
ARI,2022,14,NE,1,44.0,-2.0,23.0,21.0,3.5,0.25,1.0,1.0,0.0,0.0,27.0,3.0,4.5
ARI,2022,15,DEN,0,37.5,-1.5,19.5,18.0,3.5,1.25,7.0,1.0,1.0,0.0,24.0,11.0,16.5
ARI,2022,16,TB,1,41.5,-7.5,24.5,17.0,1.25,2.25,0.0,2.0,0.0,0.0,19.0,5.0,7.5
ARI,2022,17,ATL,0,41.0,-7.0,24.0,17.0,2.0,1.0,1.0,0.0,1.0,0.0,20.0,4.0,6.0
ARI,2022,18,SF,0,40.0,-14.0,27.0,13.0,1.0,0.75,4.0,0.0,0.0,0.0,38.0,0.0,0.0
ARI,2023,1,WAS,0,38.0,-7.0,22.5,15.5,2.75,2.25,6.0,1.0,2.0,1.0,20.0,19.0,28.5
ARI,2023,2,NYG,1,40.0,-5.0,22.5,17.5,3.0,1.5,3.0,1.0,0.0,0.0,31.0,4.0,6.0
ARI,2023,3,DAL,1,43.5,-11.5,27.5,16.0,0.75,1.0,2.0,1.0,0.0,0.0,16.0,5.0,7.5
ARI,2023,4,SF,0,44.0,-15.0,29.5,14.5,2.5,0.25,1.0,0.0,0.0,0.0,35.0,-3.0,-4.5
ARI,2023,5,CIN,1,45.5,-3.0,24.25,21.25,2.0,0.75,3.0,1.0,0.0,0.0,34.0,4.0,6.0
ARI,2023,6,LA,0,48.0,-7.0,27.5,20.5,3.25,1.25,3.0,0.0,0.0,0.0,26.0,3.0,4.5
ARI,2023,7,SEA,0,43.5,-9.5,26.5,17.0,2.25,0.75,2.0,1.0,1.0,0.0,20.0,7.0,10.5
ARI,2023,8,BAL,1,44.5,-9.5,27.0,17.5,2.0,2.0,4.0,0.0,0.0,0.0,31.0,3.0,4.5
ARI,2023,9,CLE,0,38.0,-13.0,25.5,12.5,2.75,2.5,1.0,0.0,0.0,0.0,27.0,1.0,1.5
ARI,2023,10,ATL,1,43.5,-2.0,22.75,20.75,2.75,2.25,3.0,0.0,0.0,0.0,23.0,3.0,4.5
ARI,2023,11,HOU,0,48.0,-5.5,26.75,21.25,2.0,1.75,4.0,3.0,1.0,0.0,21.0,12.0,18.0
ARI,2023,12,LA,1,45.0,-3.0,24.0,21.0,1.5,1.25,0.0,1.0,0.0,0.0,37.0,-2.0,-3.0
ARI,2023,13,PIT,0,41.0,-6.0,23.5,17.5,1.5,0.25,0.0,0.0,1.0,0.0,10.0,6.0,9.0
ARI,2023,15,SF,1,48.0,-12.5,30.25,17.75,2.5,1.0,0.0,0.0,0.0,0.0,45.0,-4.0,-6.0
ARI,2023,16,CHI,0,42.0,-4.5,23.25,18.75,2.75,1.25,1.0,1.0,0.0,0.0,27.0,3.0,4.5
ARI,2023,17,PHI,0,48.0,-12.0,30.0,18.0,1.25,1.75,0.0,1.0,0.0,0.0,31.0,1.0,1.5
ARI,2023,18,SEA,1,48.0,-2.5,25.25,22.75,2.5,0.75,0.0,0.0,0.0,0.0,21.0,0.0,0.0
ARI,2024,1,BUF,0,46.0,-6.5,26.25,19.75,1.5,1.5,2.0,0.0,1.0,0.0,34.0,3.0,4.5
ARI,2024,2,LA,1,47.5,-1.0,24.25,23.25,2.25,1.25,5.0,0.0,1.0,0.0,10.0,11.0,16.5
ARI,2024,3,DET,1,51.5,-3.0,27.25,24.25,1.0,1.25,2.0,1.0,0.0,0.0,20.0,5.0,7.5
ARI,2024,4,WAS,1,49.0,3.5,22.75,26.25,3.25,0.75,0.0,1.0,0.0,0.0,42.0,-2.0,-3.0
ARI,2024,5,SF,0,48.5,-7.0,27.75,20.75,2.75,1.25,2.0,2.0,1.0,0.0,23.0,8.0,12.0
ARI,2024,6,GB,0,47.0,-5.5,26.25,20.75,1.5,1.75,0.0,1.0,0.0,0.0,34.0,1.0,1.5
ARI,2024,7,LAC,1,44.0,-1.0,22.5,21.5,2.75,0.5,3.0,0.0,1.0,0.0,15.0,6.0,9.0
ARI,2024,8,MIA,0,46.5,-4.0,25.25,21.25,3.25,1.25,1.0,0.0,0.0,0.0,27.0,1.0,1.5
ARI,2024,9,CHI,1,44.5,1.5,21.5,23.0,2.5,0.5,6.0,0.0,0.0,0.0,9.0,10.0,15.0
ARI,2024,10,NYJ,1,45.5,-2.0,23.75,21.75,1.75,1.0,3.0,0.0,1.0,0.0,6.0,12.0,18.0
ARI,2024,12,SEA,0,46.5,1.0,22.75,23.75,3.25,1.25,5.0,1.0,0.0,0.0,16.0,8.0,12.0
ARI,2024,13,MIN,0,45.5,-3.5,24.5,21.0,2.5,2.25,5.0,0.0,1.0,0.0,23.0,7.0,10.5
ARI,2024,14,SEA,1,45.5,3.0,21.25,24.25,4.75,1.75,0.0,0.0,0.0,0.0,30.0,-1.0,-1.5
ARI,2024,15,NE,1,46.5,6.0,20.25,26.25,3.0,1.5,2.0,1.0,0.0,0.0,17.0,5.0,7.5
ARI,2024,16,CAR,0,47.0,5.5,20.75,26.25,2.5,1.5,3.0,0.0,0.0,0.0,36.0,-1.0,-1.5
ARI,2024,17,LA,0,48.0,-6.5,27.25,20.75,0.5,0.5,0.0,0.0,0.0,0.0,13.0,4.0,6.0
ARI,2024,18,SF,1,42.5,4.5,19.0,23.5,2.25,1.25,2.0,2.0,1.0,0.0,24.0,8.0,12.0
ATL,2020,1,SEA,1,49.5,1.0,24.25,25.25,0.0,0.0,3.0,0.0,0.0,0.0,38.0,-1.0,-1.5
ATL,2020,2,DAL,0,53.0,-3.0,28.0,25.0,3.0,0.0,1.0,0.0,3.0,0.0,40.0,3.0,4.5
ATL,2020,3,CHI,1,46.0,2.5,21.75,24.25,2.5,1.0,2.0,2.0,0.0,0.0,30.0,5.0,7.5
ATL,2020,4,GB,0,56.5,-5.0,30.75,25.75,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0
ATL,2020,5,CAR,1,53.5,2.5,25.5,28.0,2.0,1.25,0.0,0.0,0.0,0.0,23.0,0.0,0.0
ATL,2020,6,MIN,0,53.0,-3.5,28.25,24.75,2.75,2.25,1.0,3.0,0.0,0.0,23.0,7.0,10.5
ATL,2020,7,DET,1,54.0,1.0,26.5,27.5,2.75,0.75,2.0,0.0,0.0,0.0,23.0,2.0,3.0
ATL,2020,8,CAR,0,52.0,-1.5,26.75,25.25,1.25,1.0,3.0,1.0,0.0,0.0,17.0,6.0,9.0
ATL,2020,9,DEN,1,50.0,4.5,22.75,27.25,1.75,2.5,1.0,1.0,0.0,0.0,27.0,3.0,4.5
ATL,2020,11,NO,0,49.5,-3.5,26.5,23.0,1.5,1.5,3.0,0.0,1.0,0.0,24.0,5.0,7.5
ATL,2020,12,LV,1,53.0,-3.5,28.25,24.75,0.75,0.75,5.0,1.0,4.0,1.0,6.0,28.0,42.0
ATL,2020,13,NO,1,46.0,-2.5,24.25,21.75,2.5,1.75,2.0,0.0,1.0,0.0,21.0,4.0,6.0
ATL,2020,14,LAC,0,49.0,-1.0,25.0,24.0,2.75,1.25,1.0,1.0,0.0,0.0,20.0,4.0,6.0
ATL,2020,15,TB,1,49.5,-6.0,27.75,21.75,0.75,1.25,3.0,0.0,0.0,0.0,31.0,2.0,3.0
ATL,2020,16,KC,0,54.0,-11.0,32.5,21.5,2.5,1.5,0.0,2.0,0.0,0.0,17.0,5.0,7.5
ATL,2020,17,TB,0,51.0,-7.5,29.25,21.75,1.5,0.5,1.0,1.0,0.0,0.0,44.0,-1.0,-1.5
ATL,2021,1,PHI,1,49.0,3.5,22.75,26.25,3.0,1.75,1.0,0.0,0.0,0.0,32.0,0.0,0.0
ATL,2021,2,TB,0,52.0,-13.5,32.75,19.25,1.5,1.25,3.0,0.0,1.0,0.0,48.0,1.0,1.5
ATL,2021,3,NYG,0,48.0,-3.0,25.5,22.5,3.5,0.75,2.0,0.0,1.0,0.0,14.0,5.0,7.5
ATL,2021,4,WAS,1,47.5,-1.0,24.25,23.25,1.5,1.75,1.0,0.0,0.0,0.0,34.0,0.0,0.0
ATL,2021,5,NYJ,1,45.5,3.0,21.25,24.25,4.0,2.0,2.0,1.0,0.0,0.0,20.0,5.0,7.5
ATL,2021,7,MIA,0,48.5,1.5,23.5,25.0,2.0,1.25,1.0,2.0,0.0,0.0,28.0,4.0,6.0
ATL,2021,8,CAR,1,47.0,2.5,22.25,24.75,4.5,2.25,0.0,0.0,1.0,0.0,19.0,3.0,4.5
ATL,2021,9,NO,0,43.0,-7.0,25.0,18.0,1.25,1.0,1.0,0.0,1.0,0.0,25.0,3.0,4.5
ATL,2021,10,DAL,0,55.0,-8.0,31.5,23.5,1.75,1.75,0.0,0.0,1.0,0.0,43.0,-2.0,-3.0
ATL,2021,11,NE,1,47.5,-7.0,27.25,20.25,1.5,0.75,3.0,1.0,0.0,0.0,25.0,5.0,7.5
ATL,2021,12,JAX,0,46.0,1.5,22.25,23.75,2.25,1.0,1.0,1.0,1.0,0.0,14.0,6.0,9.0
ATL,2021,13,TB,1,51.0,-11.0,31.0,20.0,1.5,2.25,0.0,1.0,0.0,1.0,30.0,7.0,10.5
ATL,2021,14,CAR,0,41.0,-2.5,21.75,19.25,1.75,2.0,1.0,2.0,1.0,1.0,21.0,13.0,19.5
ATL,2021,15,SF,0,48.0,-9.5,28.75,19.25,2.5,1.75,0.0,0.0,1.0,0.0,31.0,1.0,1.5
ATL,2021,16,DET,1,42.5,7.5,17.5,25.0,2.0,1.5,0.0,1.0,0.0,0.0,16.0,3.0,4.5
ATL,2021,17,BUF,0,46.5,-14.0,30.25,16.25,2.25,1.0,1.0,3.0,0.0,0.0,29.0,6.0,9.0
ATL,2021,18,NO,1,40.0,-4.5,22.25,17.75,3.75,0.5,1.0,0.0,0.0,0.0,30.0,0.0,0.0
ATL,2022,1,NO,1,43.5,-6.0,24.75,18.75,3.25,0.5,4.0,0.0,1.0,0.0,27.0,6.0,9.0
ATL,2022,2,LA,0,46.5,-10.5,28.5,18.0,3.25,2.75,1.0,2.0,1.0,1.0,31.0,12.0,18.0
ATL,2022,3,SEA,0,43.0,-1.0,22.0,21.0,1.5,1.25,2.0,1.0,0.0,0.0,23.0,4.0,6.0
ATL,2022,4,CLE,1,48.0,-1.0,24.5,23.5,1.25,0.75,1.0,1.0,1.0,0.0,20.0,6.0,9.0
ATL,2022,5,TB,0,46.0,-10.5,28.25,17.75,1.75,1.5,0.0,0.0,0.0,0.0,21.0,0.0,0.0
ATL,2022,6,SF,1,46.0,-3.5,24.75,21.25,1.75,1.25,0.0,2.0,1.0,1.0,14.0,13.0,19.5
ATL,2022,7,CIN,0,47.5,-6.5,27.0,20.5,2.25,0.5,3.0,0.0,0.0,0.0,35.0,-1.0,-1.5
ATL,2022,8,CAR,1,41.0,4.5,18.25,22.75,2.75,1.25,1.0,1.0,0.0,1.0,34.0,8.0,12.0
ATL,2022,9,LAC,1,49.5,-2.5,26.0,23.5,1.75,1.25,0.0,1.0,1.0,0.0,20.0,5.0,7.5
ATL,2022,10,CAR,0,41.5,2.5,19.5,22.0,1.0,1.25,1.0,0.0,0.0,0.0,25.0,1.0,1.5
ATL,2022,11,CHI,1,48.5,3.0,22.75,25.75,3.25,0.75,4.0,1.0,1.0,0.0,24.0,8.0,12.0
ATL,2022,12,WAS,0,40.5,-3.5,22.0,18.5,2.0,1.0,0.0,1.0,0.0,0.0,19.0,3.0,4.5
ATL,2022,13,PIT,1,43.0,-1.0,22.0,21.0,4.25,0.5,0.0,0.0,0.0,0.0,19.0,1.0,1.5
ATL,2022,15,NO,0,43.5,-5.0,24.25,19.25,2.25,1.0,2.0,0.0,1.0,0.0,21.0,4.0,6.0
ATL,2022,16,BAL,0,35.0,-6.5,20.75,14.25,2.5,1.5,0.0,0.0,0.0,0.0,17.0,1.0,1.5
ATL,2022,17,ARI,1,41.0,7.0,17.0,24.0,2.75,2.5,2.0,0.0,0.0,0.0,19.0,3.0,4.5
ATL,2022,18,TB,1,40.5,6.0,17.25,23.25,1.0,2.5,0.0,0.0,1.0,0.0,17.0,3.0,4.5
ATL,2023,1,CAR,1,40.5,3.5,18.5,22.0,2.0,1.25,2.0,2.0,1.0,0.0,10.0,12.0,18.0
ATL,2023,2,GB,1,40.5,3.0,18.75,21.75,1.5,0.75,1.0,0.0,0.0,0.0,24.0,1.0,1.5
ATL,2023,3,DET,0,47.5,-3.0,25.25,22.25,1.5,1.0,0.0,1.0,0.0,0.0,20.0,3.0,4.5
ATL,2023,4,JAX,0,42.5,-3.5,23.0,19.5,1.75,1.75,2.0,0.0,0.0,0.0,23.0,2.0,3.0
ATL,2023,5,HOU,1,42.0,2.5,19.75,22.25,2.75,0.5,0.0,0.0,0.0,0.0,19.0,1.0,1.5
ATL,2023,6,WAS,1,42.0,1.5,20.25,21.75,5.75,1.75,5.0,0.0,0.0,0.0,24.0,5.0,7.5
ATL,2023,7,TB,0,37.5,-3.0,20.25,17.25,1.0,1.0,3.0,1.0,1.0,0.0,13.0,11.0,16.5
ATL,2023,8,TEN,0,35.0,2.5,16.25,18.75,3.75,0.75,2.0,0.0,1.0,0.0,28.0,3.0,4.5
ATL,2023,9,MIN,1,38.5,3.5,17.5,21.0,2.0,1.0,4.0,0.0,2.0,0.0,31.0,7.0,10.5
ATL,2023,10,ARI,0,43.5,2.0,20.75,22.75,3.75,2.25,2.0,1.0,0.0,0.0,25.0,4.0,6.0
ATL,2023,12,NO,1,42.0,-2.0,22.0,20.0,1.25,1.25,1.0,1.0,1.0,1.0,15.0,12.0,18.0
ATL,2023,13,NYJ,0,33.0,2.0,15.5,17.5,5.75,2.5,4.0,1.0,2.0,0.0,8.0,14.0,21.0
ATL,2023,14,TB,1,41.5,1.5,20.0,21.5,3.5,1.5,1.0,0.0,0.0,0.0,29.0,0.0,0.0
ATL,2023,15,CAR,0,32.0,3.0,14.5,17.5,4.75,1.5,3.0,0.0,0.0,0.0,9.0,7.0,10.5
ATL,2023,16,IND,1,44.0,3.0,20.5,23.5,2.75,0.75,6.0,1.0,0.0,0.0,10.0,12.0,18.0
ATL,2023,17,CHI,0,39.0,-3.0,21.0,18.0,2.5,1.25,3.0,0.0,0.0,0.0,37.0,-1.0,-1.5
ATL,2023,18,NO,0,41.5,-3.5,22.5,19.0,1.25,0.5,3.0,0.0,0.0,0.0,48.0,-1.0,-1.5
ATL,2024,1,PIT,1,43.0,4.0,19.5,23.5,2.25,1.25,2.0,0.0,0.0,0.0,18.0,3.0,4.5
ATL,2024,2,PHI,0,46.5,-5.5,26.0,20.5,2.0,2.5,1.0,1.0,0.0,0.0,21.0,3.0,4.5
ATL,2024,3,KC,1,46.0,-3.0,24.5,21.5,1.75,1.5,0.0,1.0,0.0,0.0,22.0,2.0,3.0
ATL,2024,4,NO,1,41.5,2.5,19.5,22.0,1.5,0.5,1.0,1.0,0.0,1.0,24.0,9.0,13.5
ATL,2024,5,TB,1,44.0,2.5,20.75,23.25,3.75,1.0,1.0,0.0,1.0,0.0,30.0,2.0,3.0
ATL,2024,6,CAR,0,45.5,6.0,19.75,25.75,2.0,1.25,0.0,2.0,0.0,0.0,20.0,5.0,7.5
ATL,2024,7,SEA,1,51.5,3.0,24.25,27.25,3.5,2.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0
ATL,2024,8,TB,0,47.0,1.5,22.75,24.25,1.75,1.75,0.0,2.0,1.0,0.0,26.0,6.0,9.0
ATL,2024,9,DAL,1,52.0,3.0,24.5,27.5,2.25,2.5,3.0,0.0,0.0,0.0,21.0,3.0,4.5
ATL,2024,10,NO,0,46.5,3.5,21.5,25.0,4.25,1.25,0.0,0.0,0.0,0.0,20.0,1.0,1.5
ATL,2024,11,DEN,0,44.5,-2.0,23.25,21.25,2.0,1.0,1.0,0.0,0.0,0.0,38.0,-3.0,-4.5
ATL,2024,13,LAC,1,47.0,-1.0,24.0,23.0,3.0,0.25,5.0,0.0,1.0,0.0,17.0,8.0,12.0
ATL,2024,14,MIN,0,46.5,-6.0,26.25,20.25,2.75,1.75,4.0,0.0,0.0,0.0,42.0,0.0,0.0
ATL,2024,15,LV,0,44.5,6.5,19.0,25.5,3.25,1.5,4.0,2.0,1.0,0.0,9.0,14.0,21.0
ATL,2024,16,NYG,1,42.5,9.5,16.5,26.0,3.75,1.25,3.0,2.0,1.0,2.0,7.0,25.0,37.5
ATL,2024,17,WAS,0,46.5,-3.5,25.0,21.5,3.75,2.25,5.0,1.0,0.0,0.0,30.0,6.0,9.0
ATL,2024,18,CAR,1,48.5,7.5,20.5,28.0,3.75,1.25,0.0,0.0,0.0,0.0,44.0,-4.0,-6.0
BAL,2020,1,CLE,1,47.0,7.0,20.0,27.0,0.0,0.0,2.0,1.0,2.0,0.0,6.0,15.0,22.5
BAL,2020,2,HOU,0,49.5,7.5,21.0,28.5,4.0,1.0,4.0,1.0,1.0,1.0,16.0,15.0,22.5
BAL,2020,3,KC,1,55.0,3.5,25.75,29.25,1.0,0.0,0.0,0.0,1.0,0.0,34.0,1.0,1.5
BAL,2020,4,WAS,0,45.0,14.5,15.25,29.75,3.3333333333333335,2.0,3.0,0.0,1.0,0.0,17.0,6.0,9.0
BAL,2020,5,CIN,1,49.0,12.5,18.25,30.75,3.75,1.0,7.0,1.0,2.0,1.0,3.0,26.0,39.0
BAL,2020,6,PHI,0,46.5,10.5,18.0,28.5,2.75,2.25,6.0,0.0,1.0,0.0,28.0,7.0,10.5
BAL,2020,8,PIT,1,44.0,4.0,20.0,24.0,1.25,1.0,2.0,0.0,1.0,0.0,28.0,3.0,4.5
BAL,2020,9,IND,0,48.0,-1.0,24.5,23.5,1.25,1.0,0.0,1.0,1.0,1.0,10.0,14.0,21.0
BAL,2020,10,NE,0,44.0,7.0,18.5,25.5,2.0,2.0,1.0,0.0,0.0,0.0,23.0,1.0,1.5
BAL,2020,11,TEN,1,50.5,6.0,22.25,28.25,1.75,0.25,2.0,1.0,0.0,0.0,30.0,3.0,4.5
BAL,2020,12,PIT,0,41.5,-10.5,26.0,15.5,0.5,0.75,0.0,1.0,0.0,0.0,19.0,3.0,4.5
BAL,2020,13,DAL,1,46.0,8.5,18.75,27.25,2.75,1.75,1.0,1.0,0.0,0.0,17.0,4.0,6.0
BAL,2020,14,CLE,0,45.5,3.0,21.25,24.25,1.5,0.75,0.0,1.0,0.0,0.0,42.0,-2.0,-3.0
BAL,2020,15,JAX,1,49.5,13.0,18.25,31.25,1.0,2.25,5.0,0.0,1.0,0.0,14.0,8.0,12.0
BAL,2020,16,NYG,1,43.5,10.0,16.75,26.75,2.75,1.25,6.0,0.0,0.0,0.0,13.0,10.0,15.0
BAL,2020,17,CIN,0,46.0,13.5,16.25,29.75,2.5,1.25,0.0,2.0,0.0,0.0,3.0,11.0,16.5
BAL,2020,18,TEN,0,53.0,3.5,24.75,28.25,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,6.0
BAL,2020,19,BUF,0,50.0,-2.5,26.25,23.75,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.5
BAL,2021,1,LV,0,50.5,3.0,23.75,26.75,1.75,2.25,3.0,1.0,0.0,0.0,33.0,4.0,6.0
BAL,2021,2,KC,1,53.5,-3.5,28.5,25.0,1.75,0.75,0.0,1.0,1.0,0.0,35.0,0.0,0.0
BAL,2021,3,DET,0,51.0,7.5,21.75,29.25,2.25,1.5,2.0,0.0,0.0,0.0,17.0,3.0,4.5
BAL,2021,4,DEN,0,44.0,-1.0,22.5,21.5,2.25,0.5,5.0,1.0,0.0,0.0,7.0,11.0,16.5
BAL,2021,5,IND,1,46.5,7.5,19.5,27.0,2.5,1.0,2.0,0.0,1.0,0.0,25.0,4.0,6.0
BAL,2021,6,LAC,1,50.5,3.0,23.75,26.75,1.75,0.75,2.0,1.0,0.0,0.0,6.0,11.0,16.5
BAL,2021,7,CIN,1,45.5,6.5,19.5,26.0,1.5,1.0,1.0,1.0,0.0,0.0,41.0,-1.0,-1.5
BAL,2021,9,MIN,1,51.0,7.5,21.75,29.25,1.25,1.0,0.0,0.0,0.0,0.0,31.0,-1.0,-1.5
BAL,2021,10,MIA,0,46.5,8.5,19.0,27.5,1.75,2.25,4.0,0.0,0.0,0.0,22.0,4.0,6.0
BAL,2021,11,CHI,0,43.0,5.0,19.0,24.0,3.75,2.5,3.0,0.0,1.0,0.0,13.0,9.0,13.5
BAL,2021,12,CLE,1,47.0,3.0,22.0,25.0,3.0,1.0,3.0,0.0,2.0,0.0,10.0,11.0,16.5
BAL,2021,13,PIT,0,44.0,4.0,20.0,24.0,2.5,1.5,1.0,0.0,0.0,0.0,20.0,2.0,3.0
BAL,2021,14,CLE,0,44.0,-3.0,23.5,20.5,2.75,1.25,0.0,1.0,0.0,0.0,24.0,2.0,3.0
BAL,2021,15,GB,1,45.5,-9.5,27.5,18.0,1.75,0.5,3.0,0.0,0.0,0.0,31.0,2.0,3.0
BAL,2021,16,CIN,0,43.0,-7.5,25.25,17.75,4.0,1.25,3.0,0.0,0.0,0.0,41.0,-1.0,-1.5
BAL,2021,17,LA,1,47.0,-7.0,27.0,20.0,2.0,1.0,1.0,2.0,1.0,1.0,20.0,14.0,21.0
